Qualifying Name,Geo_QNAME,"Fresno, California","Los Angeles-Long Beach-Anaheim, California","San Diego-Chula Vista-Carlsbad, California","New Haven-Milford, Connecticut","Tampa-St Petersburg-Clearwater, Florida","Chicago-Naperville-Elgin, Illinois","Boston-Cambridge-Newton, Massachusetts","New York-Newark-Jersey City, New York","Pittsburgh, Pennsylvania","El Paso, Texas","Ventura, California","Hackensack City, New Jersey"
Name of Area,Geo_NAME,Fresno,Los Angeles-Long Beach-Anaheim,San Diego-Chula Vista-Carlsbad,New Haven-Milford,Tampa-St Petersburg-Clearwater,Chicago-Naperville-Elgin,Boston-Cambridge-Newton,New York-Newark-Jersey City,Pittsburgh,El Paso,Ventura,Hackensack city
FIPS,Geo_FIPS,623420,631080,641740,935300,1245300,1716980,2514460,3635620,4238300,4821340,6111,3428680
Nation,Geo_NATION,0,0,0,0,0,0,0,0,0,0,0,0
State,Geo_STATE,6,6,6,9,12,17,25,36,42,48,6,34
County,Geo_COUNTY,0,0,0,0,0,0,0,0,0,0,111,0
Census Tract,Geo_CT,0,0,0,0,0,0,0,0,0,0,0,0
Block Group,Geo_BG,0,0,0,0,0,0,0,0,0,0,0,0
City,Geo_CITY,0,0,0,0,0,0,0,0,0,0,0,28680
Metropolitan Statistical Area/Micropolitan Statistical Area,Geo_MSAMSA,23420,31080,41740,35300,45300,16980,14460,35620,38300,21340,0,0
ZIP Code,Geo_ZC,0,0,0,0,0,0,0,0,0,0,0,0
Population Density,ORG_DENSITY,0.028554432,0.010673415,0.019242863,0.00728327,0.027407987,0.007004187,0.021083476,0.010747078,-0.003185438,0.01651255,0.005874674,0.009518972
Population,ORG_TOT_POP,0.02861795,0.010687947,0.019222685,0.007318046,0.027369503,0.007011994,0.021090957,0.010752618,-0.003086081,0.016495119,0.005904531,0.009519094
Households,ORG_TOT_HH,0.025477218,0.012038445,0.019026294,0.010408248,0.025687298,0.012990843,0.025977571,0.014151685,0.00602011,0.028557274,0.007237479,0.009106311
"Household, Average Size",ORG_AVGHHSIZE,0.003174603,0,0,0,0,-0.003787879,-0.004048583,-0.003773585,-0.008888889,-0.013333333,0,0
Total Population,ORG_TOT_POP0,0.02861795,0.010687947,0.019222685,0.007318046,0.027369503,0.007011994,0.021090957,0.010752618,-0.003086081,0.016495119,0.005904531,0.009519094
Family Population,ORG_POPFAM,0.028719877,0.00945896,0.02085686,0.002192883,0.026537404,0.003389846,0.021138205,0.009515041,-0.009356001,0.012972171,0.004435448,0.012170814
Non-Family Population,ORG_POPNFAM,0.031616053,0.018572595,0.013269935,0.029206185,0.031852492,0.02512677,0.022473623,0.017697804,0.018515057,0.047588993,0.016370449,0.002378828
Families,ORG_FAMILIES,0.025115153,0.011024549,0.023057508,-0.004335382,0.023280103,0.007207568,0.027593309,0.011825274,-0.002975385,0.018693155,0.002467196,0.015889729
"Families, Married",ORG_FAMMAR,0.009915277,0.011250847,0.022065348,-0.009144284,0.017943049,0.007250106,0.025770391,0.012928724,-0.002170233,0.016914856,0.002807353,0.013495072
Other Families,ORG_FAMOTH,0.050932518,0.010505137,0.025810934,0.00630489,0.035736394,0.007097111,0.032811634,0.009306693,-0.005433081,0.022111146,0.001361441,0.019989616
"Other Families, Male Householder, No Wife Present",ORG_FAMOTM,0.07592497,0.013839968,0.037664617,0.033745913,0.044664579,0.015427042,0.055322764,0.022889565,0.017921064,0.054092405,0.005193119,0.038939519
"Other Families, Female Householder, No Husband Present",ORG_FAMOTF,0.038109029,0.008985275,0.020220077,-0.003948603,0.032271923,0.003951743,0.024092207,0.004474992,-0.015196424,0.011234654,-0.000506265,0.011342155
% Family Population,PCT_ORG_POPFAM,0.000114561,-0.001194458,0.001611504,-0.005018013,-0.000768541,-0.003554357,0,-0.00122414,-0.006343333,-0.003421923,-0.001384882,0.002684203
% Non-Family Population,PCT_ORG_POPNFAM,0.002737226,0.008196721,-0.005586592,0.02217529,0.004442251,0.017942584,0.001560874,0.006752609,0.021688971,0.030067895,0.010806318,-0.007048458
"% Families, Married",PCT_ORG_FAMMAR,-0.014775977,0.00028715,-0.000952251,-0.004791636,-0.005284959,0,-0.001754149,0.001006615,0.000796601,-0.001824263,0.000392311,-0.002376049
% Other Families,PCT_ORG_FAMOTH,0.025094441,-0.000658979,0.002642507,0.010600707,0.012337446,0,0.005021244,-0.002298096,-0.002431118,0.003506721,-0.001274968,0.004068348
"% Other Families, Male Householder, No Wife Present",PCT_ORG_FAMOTM,0.049323787,0.003157895,0.014134276,0.037780401,0.020262217,0.007874016,0.026279391,0.01126408,0.022008253,0.03452244,0.002594034,0.023376623
"% Other Families, Female Householder, No Husband Present",PCT_ORG_FAMOTF,0.012658228,-0.002398082,-0.002777778,0.000441306,0.008792226,-0.002973241,-0.003215434,-0.007120605,-0.012068966,-0.007439311,-0.003160556,-0.004739336
"Families, Married with Children Under 18",ORG_FAMMAR18,-0.013499438,-0.018077513,0.005828802,-0.039873406,0.0089434,-0.015516747,0.005931577,-0.003180953,-0.01270561,-0.013405223,-0.028374008,-0.000352858
"Families, Married with No Children Under 18",ORG_FAMMARNOC,0.032843737,0.036698438,0.035939889,0.009589278,0.02313018,0.025553279,0.040192279,0.026164227,0.003707693,0.047965778,0.027820693,0.023929806
"Other Families, Male Householder, No Wife Present with Children Under 18",ORG_FAMOTM18,0.074960647,-0.001633796,0.036341706,0.015774438,0.04889331,0.003433636,0.045059308,0.013269613,0.01440841,0.052047865,-0.015063456,0
"Other Families, Male Householder, No Wife Present with No Children Under 18",ORG_FAMOTMNOC,0.077595937,0.030047023,0.039365037,0.04968602,0.03868472,0.027293804,0.063954349,0.030592029,0.021323997,0.056955989,0.029681675,0.067335244
"Other Families, Female Householder, No Husband Present with Children Under 18",ORG_FAMOTF18,0.02111944,-0.024251217,-0.003902938,-0.030775134,0.005933592,-0.016643795,-0.007180162,-0.020260992,-0.021655331,-0.025642712,-0.032606061,-0.013605442
"Other Families, Female Householder, No Husband Present with No Children Under 18",ORG_FAMOTFNOC,0.069047975,0.043682651,0.05065123,0.031396936,0.066605899,0.031065805,0.058938561,0.03117053,-0.006857193,0.063686524,0.034560381,0.036308623
Total Number of Households,ORG_HOUSEHOLDS1,0.025477218,0.012038445,0.019026294,0.010408248,0.025687298,0.012990843,0.025977571,0.014151685,0.00602011,0.028557274,0.007237479,0.009106311
Non-Family Households,ORG_NONFAMHH,0.026507923,0.014216131,0.010608651,0.032829156,0.029520877,0.02358489,0.023210672,0.018501263,0.019135193,0.055716167,0.019605553,0.000710816
"Non-Family Households, Male Householder with People Under 18",ORG_NONFAMHHMC,0,-0.017556518,0.001945525,0,0.046140453,0.230269392,0.093727469,0.183580388,0.096270161,-0.007425743,-0.001545595,0
"Non-Family Households, Male Householder with No People Under 18",ORG_NONFAMHHMN,0.032035601,0.014861155,0.011824557,0.042268024,0.027793657,0.022980988,0.025280997,0.020828928,0.028625834,0.054443757,0.017918717,0.009761905
"Non-Family Households, Female Householder with People Under 18",ORG_NONFAMHHFC,0.028645833,0,0.409591195,-0.004048583,0.027799228,0.197228637,0.153617443,0.0888699,0.122262774,0.497409326,0.349765258,0
"Non-Family Households, Female Householder with No People Under 18",ORG_NONFAMHHFN,0.021879578,0.014069472,0.006851764,0.025090464,0.030755857,0.021221842,0.02066395,0.01512578,0.009795328,0.055330382,0.017947986,-0.008321446
% Non-Family Households,PCT_ORG_NONFAMHH,0.000769231,0.002203336,-0.008338481,0.02218301,0.003889033,0.010478618,-0.002712232,0.004304161,0.013028515,0.026651652,0.012576356,-0.008279257
"% Non-Family Households, Male Householder with People Under 18",PCT_ORG_NONFAMHHMC,-0.04,-0.052631579,-0.045454545,0,0,0.238095238,0,0.133333333,0.1,-0.066666667,0,0
"% Non-Family Households, Male Householder with No People Under 18",PCT_ORG_NONFAMHHMN,0.006504065,0.002643754,-0.006892231,0.031232877,0.001731102,0.009809933,-0.000605694,0.006489293,0.022163588,0.024864025,0.010612245,0.00044964
"% Non-Family Households, Female Householder with People Under 18",PCT_ORG_NONFAMHHFC,0,0,0.363636364,0,0,0.166666667,0.2,0,0.2,0.428571429,0.4,0
"% Non-Family Households, Female Householder with No People Under 18",PCT_ORG_NONFAMHHFN,-0.003750938,0.001833741,-0.011801242,0.014636449,0.004786979,0.008542445,-0.005456349,0.001040583,0.003722662,0.025811209,0.010533246,-0.017512348
Total Population,ORG_TOT_POP1,0.02861795,0.010687947,0.019222685,0.007318046,0.027369503,0.007011994,0.021090957,0.010752618,-0.003086081,0.016495119,0.005904531,0.009519094
"Population, Urban",ORG_URBANPOP,0.028745464,0.010692005,0.019234848,0.007292189,0.027060839,0.006899973,0.021392446,0.010891308,-0.002100443,0.016117809,0.005911472,0.009519094
"Population, Rural",ORG_RURALPOP,0.027562119,0.00987114,0.018867072,0.007999488,0.033849527,0.011197877,0.01586359,0.003580652,-0.007673232,0.029788693,0.005688498,#DIV/0!
"% Population, Urban",PCT_ORG_URBANPOP,0.000224165,0,0,0,-0.000314301,-0.00010268,0.000211528,0.000203874,0.000971935,-0.000411353,0,0
"% Population, Rural",PCT_ORG_RURALPOP,-0.001855288,0,0,0,0.006593407,0.003831418,-0.003669725,-0.010526316,-0.004522329,0.014492754,0,#DIV/0!
Total Population,ORG_TOT_POP2,0.02861795,0.010687947,0.019222685,0.007318046,0.027369503,0.007011994,0.021090957,0.010752618,-0.003086081,0.016495119,0.005904531,0.009519094
"Population, Male",ORG_MALEPOP,0.031794478,0.013932146,0.022259208,0.011545611,0.032647706,0.010641491,0.025389475,0.014825049,0.001039769,0.019281933,0.009251294,0.014253837
"Population, Female",ORG_FEMALEPOP,0.025418974,0.007519443,0.016149747,0.003364054,0.022353762,0.003521434,0.017025278,0.006949514,-0.006974905,0.01385085,0.002582612,0.004893674
"% Population, Male",PCT_ORG_MALEPOP,0.002989239,0.003238211,0.002982107,0.004138216,0.00513031,0.003671971,0.00411438,0.003934562,0.004122012,0.002669953,0.003412969,0.004653986
"% Population, Female",PCT_ORG_FEMALEPOP,-0.003010839,-0.00316268,-0.003018109,-0.003870718,-0.004876146,-0.003530796,-0.003891808,-0.003674338,-0.003885004,-0.002533619,-0.003387129,-0.004547252
Total Population,ORG_TOT_POP3,0.02861795,0.010687947,0.019222685,0.007318046,0.027369503,0.007011994,0.021090957,0.010752618,-0.003086081,0.016495119,0.005904531,0.009519094
"White Population, Alone",ORG_WHPOPA,-0.00018384,-0.016319993,0.001907172,-0.008311953,0.011738062,-0.008340183,0.004496985,-0.012515747,-0.012121658,0.006530836,0.008704417,-0.034949862
"Black Population, Alone",ORG_BLPOPA,0.002444273,0.006722622,0.037727343,0.038250294,0.0531234,0.008935599,0.064682349,0.014105365,0.019539616,0.098435043,0.012112223,0.029897076
"Asian Population, Alone",ORG_ASPOPA,0.040174555,0.039488172,0.057128264,0.068246283,0.079353643,0.062304902,0.07308009,0.050585193,0.082606999,0.105602414,0.028851553,0.046098655
"American Indian and Alaska Native Population, Alone",ORG_AMPOPA,0.077815415,0.060363235,0.104455528,0.139446279,0.101970983,0.115038455,0.104393267,0.07038227,0.178188171,0.107894189,0.023832844,0.112716763
"Other Race Population, Alone",ORG_ORPOPA,0.073763744,0.018994419,0.016113664,0.008437691,0.07946293,0.015974923,0.035864566,0.037407364,0.06082207,0.02421637,-0.04029623,0.01859375
