area, state, latitude,longitude
Fresno,California,36.740894226378224,-119.7918234666325
San Diego,California,32.71569416110713,-117.14334669463997
New Haven,Connecticut,41.311162444133004,-72.92909793543033
Tampa,Florida,28.003732756234875,-82.44699422031177
Chicago,Illinois,41.85666570434804,-87.67017391148319
Boston,Massachusetts,42.34319935314039,-71.03277673903854
New York,New York,40.67632089054701,-74.03876508336491
Pittsburgh,Pennsylvania,40.43997060822166,-79.99354882305016
El Paso,Texas,31.810426888352954,-106.4270906587582
Ventura,California,34.27010755547438,-119.26286599291588
Hackensack,New Jersey,40.88689452108049,-74.05119636988525
